word_id,sentence_id,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
45,1,Gusto,FIL,,TRUE,FIL,,,
46,1,kong,FIL,,TRUE,FIL,,,
47,1,intindihin,FIL,,TRUE,FIL,,,
48,1,pero,FIL,,TRUE,FIL,,,
49,1,hindi,FIL,,TRUE,FIL,,,
50,1,ko,FIL,,TRUE,FIL,,,
51,1,maintindihan,FIL,,TRUE,FIL,,,
52,1,hahaha,OTH,EXPR,TRUE,OTH,,,
53,1,paano,FIL,,TRUE,FIL,,,
54,1,ba,FIL,,TRUE,FIL,,,
55,1,itong,FIL,,TRUE,FIL,,,
56,1,mga,FIL,,TRUE,FIL,,,
57,1,draw,ENG,,TRUE,ENG,,,
58,1,na,FIL,,TRUE,FIL,,,
59,1,ganyan,FIL,,TRUE,FIL,,,
60,1,po,FIL,,TRUE,FIL,,,
61,1,?,OTH,,TRUE,OTH,,,
62,2,Kaya,FIL,,TRUE,FIL,,,
63,2,kayong,FIL,,TRUE,FIL,,,
64,2,mga,FIL,,TRUE,FIL,,,
65,2,babae,FIL,,TRUE,FIL,,,
66,2,wag,FIL,,TRUE,FIL,,,
67,2,kayong,FIL,,TRUE,FIL,,,
68,2,basta,FIL,,TRUE,FIL,,,
69,2,basta,FIL,,TRUE,FIL,,,
70,2,magtiwala,FIL,,TRUE,FIL,,,
71,2,na,FIL,,TRUE,FIL,,,
72,2,kahit,FIL,,TRUE,FIL,,,
73,2,kanino,FIL,,TRUE,FIL,,,
74,2,kasi,FIL,,TRUE,FIL,,,
75,2,.,OTH,,TRUE,OTH,,,
76,3,Kasalan,FIL,,FALSE,FIL,,,
77,3,naman,FIL,,TRUE,FIL,,,
78,3,nila,FIL,,TRUE,FIL,,,
79,3,bakit,FIL,,TRUE,FIL,,,
80,3,hindi,FIL,,TRUE,FIL,,,
81,3,nila,FIL,,TRUE,FIL,,,
82,3,sinabi,FIL,,TRUE,FIL,,,
83,3,agad,FIL,,TRUE,FIL,,,
84,3,ang,FIL,,TRUE,FIL,,,
85,3,totuo,FIL,,FALSE,FIL,,,
86,3,",",OTH,,TRUE,OTH,,,
87,4,At,FIL,,TRUE,FIL,,,
88,4,sila-sila,FIL,,TRUE,FIL,,,
89,4,rin,FIL,,TRUE,FIL,,,
